Title;Subtitle;Date;Author;Section
Дэвид Харбор отказался от всего ради Diablo II: Resurrected;Однажды игра уже разрушила его жизнь.;02.10.2021;Светлана Нелипа;Игровые новости
Koei Tecmo анонсировала Atelier Sophie 2: The Alchemist of the Mysterious Dream;Игра выйдет 25 февраля на PlayStation 4, Nintendo Switch и PC.;02.10.2021;Светлана Нелипа;Игровые новости
Ретро-рыбалку Moonglow Bay выпустят 26 октября;Игра сразу появится в Xbox Game Pass.;02.10.2021;Светлана Нелипа;Игровые новости
Electronic Arts добавляет в GeForce NOW четыре игры;До сих пор в стриминговом сервисе была доступна только Apex Legends.;02.10.2021;Светлана Нелипа;Индустрия
В Euro Truck Simulator 2 и American Truck Simulator появятся онлайновые моды;Официальную поддержку мультиплеера добавили в этом году.;02.10.2021;Светлана Нелипа;Игровые новости
Twitch позволит стримерам покупать раскрутку;Новая функция Boost this Stream позволяет платить за рекомендации.;02.10.2021;Светлана Нелипа;Индустрия
The Elder Scrolls Online насчитывает 19 миллионов игроков;А дополнение «Мёртвые Земли» выходит на РС 1 ноября.;02.10.2021;Светлана Нелипа;Игровые новости
Джефф Безос доволен тем, как стартовала New World;«А вы говорили, что у Amazon не получаются игры!».;02.10.2021;Светлана Нелипа;Игровые новости
Аанг и Корра присоединились к ростеру Nickelodeon All-Star Brawl;Разработчики показали геймплей.;02.10.2021;Екатерина Кулешова;Игровые новости
«Бука» обсуждает с Valve возможность поставки Steam Deck в Россию;Об этом сообщил редактор 4game Алексей Макаренков.;01.10.2021;Екатерина Кулешова;Индустрия
Удо Кир озвучит немецкого генерала в Martha Is Dead;Демоверсия игры доступна в рамках фестиваля «Играм быть».;01.10.2021;Светлана Нелипа;Игровые новости
В индустрии волнуются, что Starfield может пострадать от 150 тысяч строк диалогов;Опасения высказали разработчики из других студий.;01.10.2021;Екатерина Кулешова;Игровые новости
Показан игровой процесс Warhammer 40,000: Chaos Gate – Daemonhunters;В новом трейлере.;01.10.2021;Светлана Нелипа;Игровые новости
Авторы Stellaris рассказали о будущих обновлениях игры;Следующий патч ожидается в ноябре.;01.10.2021;Екатерина Кулешова;Игровые новости
Стратегии Paradox оказались более популярны, чем Civilization и Total War;А ещё Paradox отметила несколько неанонсированных проектов.;01.10.2021;Екатерина Кулешова;Игровые новости
Ghost Recon 5? Ubisoft обещает анонс нового проекта к 20-й годовщине серии;Праздничное шоу состоится 5 октября.;01.10.2021;Светлана Нелипа;Игровые новости
Сегодня в Fallout 76 начнётся тестирование обновления «Ночь Молерота»;Разработчики поделились подробностями.;01.10.2021;Екатерина Кулешова;Игровые новости
Над Dungeon Encounters работают авторы Final Fantasy X и Final Fantasy XII;Игра выходит 14 октября на PlayStation 4, Nintendo Switch и PC.;01.10.2021;Светлана Нелипа;Игровые новости
Для DIRT 5 вышло бесплатное обновление, приуроченное к Хэллоуину;Добавили много жутких тематических предметов.;01.10.2021;Екатерина Кулешова;Игровые новости
В Steam стартовал осенний фестиваль «Играм быть»;Скидки, трансляции, сотни демоверсий.;01.10.2021;Светлана Нелипа;Индустрия
Больше японских игр на Xbox — компания работает над этим каждый день;Об этом рассказал Фил Спенсер.;01.10.2021;Екатерина Кулешова;Индустрия
Авторы Assassin’s Creed Valhalla рассказали про обновления осени;Игроков ждёт новый фестиваль, интерактивный тур и так далее.;01.10.2021;Александр Аммосов;Игровые новости
По Deep Rock Galactic делают настольную игру;Её вынесут на Kickstarter.;01.10.2021;Светлана Нелипа;Игровые новости
«Горячий» платформер Firegirl: Hack 'n Splash Rescue выйдет 14 декабря;На всех платформах.;01.10.2021;Екатерина Кулешова;Игровые новости
Небесная империя Катай стала центром нового ролика Total War Warhammer III;Релиз игры запланирован на начало 2022 года.;01.10.2021;Александр Аммосов;Игровые новости
